CMR Processing Modes	CMR-Verarbeitungsmodi
The DownloadAFP and DownloadLineData workflows are recommended for use with.	Für die Verwendung mit  werden die Workflows DownloadAFP und DownloadLineData empfohlen.
In addition, determine whether you can use one of the Download input devices that  provides or whether the installation requires a customized input device.	Stellen Sie zudem fest, ob Sie eine der von  bereitstellten Eingabeeinheiten des Typs "Download" verwenden können oder ob für die Installation eine angepasste Eingabeeinheit erforderlich ist.
To configure to use :	Gehen Sie wie folgt vor, um die Verwendung von  zu konfigurieren:
On the  system, copy and modify a workflow that contains the processing steps that you want the jobs that are submitted by  to follow.	Kopieren und ändern Sie auf dem -System einen Workflow, der die Verarbeitungsschritte enthält, die die von  übergebenen Jobs durchlaufen müssen.
To copy and modify one or more workflows:	Gehen Sie wie folgt vor, um Workflows zu kopieren und zu ändern:
In the Workflow Objects portlet, click the Workflows tab.	Klicken Sie im Portlet Workflow-Objekte auf die Registerkarte Workflows.
Right-click the workflow that you want to copy, and select Copy.	Klicken Sie mit der rechten Maustaste auf den Workflow, den Sie kopieren möchten, und wählen Sie Kopieren aus.
Name the copy of the workflow, fill in or edit other values that you need, and click Ok.	Benennen Sie die Kopie des Workflows, geben Sie andere Werte ein, die Sie benötigen, oder bearbeiten Sie diese, und klicken Sie anschließend auf OK.
In the Workflow Editor portlet, select each step and click Properties (Properties icon).	Wählen Sie im Portlet Workflow Editor die einzelnen Schritte aus, und klicken Sie auf Merkmale (Merkmalsymbol).
Modify the properties as necessary.	Ändern Sie die Merkmale je nach Bedarf.
If the AFP resources (such as fonts, overlays, and page segments) required by the jobs that are processed through this workflow are not going to be sent inline with the input file, make sure that those resources are available to the  system.	Wenn die AFP-Ressourcen (beispielsweise Fonts, Overlays und Page-Segmente), die für die durch diesen Workflow verarbeiteten Jobs erforderlich sind, nicht inline mit der Eingabedatei gesendet werden, müssen Sie darauf achten, dass diese Ressourcen für das -System verfügbar sind.
It is recommended that you move these resources to /aiw/aiw1/resources (AIX and Linux) or C:\aiw\aiw1\resources (Windows) or /usr/lpp/psf/reslib (AIX and Linux) or C:\Program Files (x86)\Ricoh\PSF\reslib (Windows), so that they are available to all the components of.	Es wird empfohlen, dass Sie diese Ressourcen in das Verzeichnis /aiw/aiw1/resources (AIX und Linux) bzw. C:\aiw\aiw1\resources (Windows) oder /usr/lpp/psf/reslib (AIX und Linux) bzw. C:\Program Files (x86)\Ricoh\PSF\reslib (Windows) verschieben, damit diese Ressourcen für alle -Komponenten verfügbar sind.
If you cannot use those directories, you can set the AFP resource path property on one of the steps in the workflow to refer to the directory or directories that hold the resources.	Können Sie diese Verzeichnisse nicht verwenden, können Sie das Merkmal AFP-Ressourcenpfad für einen der Schritte in dem Workflow so ändern, dass auf die Verzeichnisse verwiesen wird, in denen sich die Ressourcen befinden.
The AFP resource path can be set as a default job property on various step templates, including EnableRepositioning, CreatePageRanges, PrintJobs, and ConvertLineDataJobIntoAFP.	Das Merkmal AFP-Ressourcenpfad kann als Standard-Jobmerkmal für verschiedene Schrittschablonen wie beispielsweise EnableRepositioning, CreatePageRanges, PrintJobs und ConvertLineDataJobIntoAFP festgelegt werden.
You only need to set the value on one of the steps; the others inherit the value.	Sie müssen diesen Wert nur für einen einzigen der Schritte festlegen, weil der Wert von den anderen Schritten übernommen wird.
When you are ready to save the workflow, click Save.	Wenn Sie bereit sind, den Workflow zu speichern, klicken Sei auf Speichern.
To use the new workflow, go to the Workflow Objects portlet.	Um den neuen Workflow zu verwenden, navigieren Sie zum Portlet Workflow-Objekte.
Select the workflow and click Enable workflow (Enable workflow icon).	Wählen Sie den Workflow aus, und klicken Sie auf Workflow aktivieren (Symbol zum Aktivieren des Workflows).
Repeat these steps if you want to create additional workflows.	Wiederholen Sie diese Schritte, wenn Sie zusätzliche Workflows erstellen wollen.
On the  system, copy and modify a workflow that contains the processing steps that you want the jobs that are submitted by  to follow.	Kopieren und ändern Sie auf dem -System einen Workflow, der die Verarbeitungsschritte enthält, die die von  übergebenen Jobs durchlaufen müssen.
To copy and modify one or more workflows:	Gehen Sie wie folgt vor, um Workflows zu kopieren und zu ändern:
Right-click the workflow that you want to copy, and select Copy.	Klicken Sie mit der rechten Maustaste auf den Workflow, den Sie kopieren möchten, und wählen Sie Kopieren aus.
Name the copy of the workflow, fill in or edit other values that you need, and click Continue.	Benennen Sie die Kopie des Workflows, geben Sie nach Bedarf andere Werte ein oder bearbeiten Sie Werte entsprechend, und klicken Sie anschließend auf Weiter.
In the workflow editor, right-click each step and select Properties.	Klicken Sie im Workflow-Editor mit der rechten Maustaste auf jeden Schritt, und wählen Sie Merkmale.
Modify the properties as necessary.	Ändern Sie die Merkmale je nach Bedarf.
If the AFP resources (such as fonts, overlays, and page segments) required by the jobs that are processed through this workflow are not going to be sent inline with the input file, make sure that those resources are available to the  system.	Wenn die AFP-Ressourcen (beispielsweise Fonts, Overlays und Page-Segmente), die für die durch diesen Workflow verarbeiteten Jobs erforderlich sind, nicht inline mit der Eingabedatei gesendet werden, müssen Sie darauf achten, dass diese Ressourcen für das -System verfügbar sind.
It is recommended that you move these resources to /aiw/aiw1/resources (AIX and Linux) or C:\aiw\aiw1\resources (Windows) or /usr/lpp/psf/reslib (AIX and Linux) or C:\Program Files (x86)\Ricoh\PSF\reslib (Windows), so that they are available to all the components of.	Es wird empfohlen, dass Sie diese Ressourcen in das Verzeichnis /aiw/aiw1/resources (AIX und Linux) bzw. C:\aiw\aiw1\resources (Windows) oder /usr/lpp/psf/reslib (AIX und Linux) bzw. C:\Program Files (x86)\Ricoh\PSF\reslib (Windows) verschieben, damit diese Ressourcen für alle -Komponenten verfügbar sind.
If you cannot use those directories, you can set the AFP resource path property on one of the steps in the workflow to refer to the directory or directories that hold the resources.	Können Sie diese Verzeichnisse nicht verwenden, können Sie das Merkmal AFP-Ressourcenpfad für einen der Schritte in dem Workflow so ändern, dass auf die Verzeichnisse verwiesen wird, in denen sich die Ressourcen befinden.
The AFP resource path can be set as a default job property on various step templates, including EnableRepositioning, CreatePageRanges, PrintJobs, and ConvertLineDataJobIntoAFP.	Das Merkmal AFP-Ressourcenpfad kann als Standard-Jobmerkmal für verschiedene Schrittschablonen wie beispielsweise EnableRepositioning, CreatePageRanges, PrintJobs und ConvertLineDataJobIntoAFP festgelegt werden.
You only need to set the value on one of the steps; the others inherit the value.	Sie müssen diesen Wert nur für einen einzigen der Schritte festlegen, weil der Wert von den anderen Schritten übernommen wird.
When you are ready to use the new workflow, save and enable it by changing , the Save & Enable/Disable switch, to the On position.	Wenn Sie bereit sind, den neuen Workflow zu verwenden, speichern und aktivieren Sie ihn, indem Sie den Schalter  Speichern und Aktivieren/Deaktivieren auf die Position EIN setzen.
Repeat these steps if you want to create additional workflows.	Wiederholen Sie diese Schritte, wenn Sie zusätzliche Workflows erstellen wollen.
On the  system, configure an input device so that it assigns the correct workflow or types for the z/OS data sets that it receives.	Konfigurieren Sie auf dem -System eine Eingabeeinheit so, dass sie die korrekten Workflows oder Typen für die empfangenen z/OS-Datensätze zuordnet.
It is recommended that you copy and rename one of the supplied Download input devices, then verify or update the settings described below.	Es wird empfohlen, eine der bereitgestellten Eingabeeinheiten des Typs "Download" zu kopieren und umzubenennen und dann die unten beschriebenen Einstellungen zu überprüfen oder zu aktualisieren.
In the left pane, click DevicesInput Devices.	Klicken Sie im linken Teilfenster auf EinheitenEingabeeinheiten.
Right-click the Download input device that you want to copy and select Copy.	Klicken Sie mit der rechten Maustaste auf die Eingabeeinheit des Typs Download, die Sie kopieren wollen, und wählen Sie Kopieren aus.
The new input device that  creates through the copy action is the same type as the copied input device.	Die neue Eingabeeinheit, die  durch das Kopieren erstellt, hat denselben Typ wie die kopierte Eingabeeinheit.
You cannot create a new Download input device by copying a hot folder or an LPD input device.	Sie können keine neue Eingabeeinheit des Typs "Download" durch das Kopieren einer Eingabeeinheit des Typs "Ordner für Sofortdruck" oder "LPD" erstellen.
In the left pane, click Show all tabs to display all the properties for this input device.	Klicken Sie im linken Teilfenster auf Alle Registerkarten anzeigen, um alle Merkmale für diese Eingabeeinheit anzuzeigen.
Verify or update the values for these properties:	Überprüfen oder aktualisieren Sie die Werte für die folgenden Merkmale:
Port number	Anschlussnummer
The port number that this input device uses to communicate with.	Die Anschlussnummer, die diese Eingabeeinheit benutzt, um mit  zu kommunizieren.
Make note of the port number that you specify so that you can use it in your routing control data set on z/OS.	Schreiben Sie die angegebene Anschlussnummer auf, damit Sie diese Nummer im Routing-Steuerungsdatensatz unter z/OS verwenden können.
If  for AIX or Windows is also receiving jobs from this z/OS system, make sure you assign a port number that  is not using.	Empfängt auch  für AIX oder Windows Jobs von diesem z/OS-System, stellen Sie sicher, dass Sie eine Anschlussnummer zuordnen, die  nicht benutzt.
Folder location	Ordnerposition
The directory on the primary computer that receives data sets from.	Das Verzeichnis auf dem primären Computer, das Datensätze von  empfängt.
Make sure that the file system is set up so that the directory you list here is large enough to handle the amount of data that  sends without filling the file system.	Das Dateisystem muss so konfiguriert sein, dass das hier aufgeführte Verzeichnis groß genug ist, um die von  gesendete Datenmenge zu verarbeiten, damit kein Problem durch nicht ausreichenden Speicherplatz auftritt.
Staging location	Bereitstellungsposition
The directory that  moves input files to before they are submitted as jobs.	Das Verzeichnis, in das  Eingabedateien versetzt, bevor sie als Jobs übergeben werden.
Make sure that the file system is set up so that the directory you list here is large enough to handle the amount of data that  sends without filling the file system.	Das Dateisystem muss so konfiguriert sein, dass das hier aufgeführte Verzeichnis groß genug ist, um die von  gesendete Datenmenge zu verarbeiten, damit kein Problem durch nicht ausreichenden Speicherplatz auftritt.
Remember that there might be two copies of an input file in the system at any time, one in the Folder location directory and one in the Staging location directory.	Beachten Sie, dass sich zwei Kopien einer Eingabedatei gleichzeitig im System befinden können, eine im Verzeichnis Ordnerposition und eine im Verzeichnis Bereitstellungsposition.
If the input device needs to accept single or multiple data set jobs:	Wenn die Eingabeeinheit Jobs mit einem oder mehreren Datensätzen akzeptieren muss, gehen Sie wie folgt vor:
Set the Submit step property to SubmitInputFiles and the Workflow property to ParentNoPrint.	Setzen Sie das Merkmal Übergabeschritt auf SubmitInputFiles und das Merkmal Workflow auf ParentNoPrint.
Determine how you want the input device to assign the workflow for each single job or child job.	Legen Sie fest, wie die Eingabeeinheit den Workflow für einzelne Jobs oder untergeordnete Jobs zuordnen soll.
You can select one of these:	Sie können eine der folgenden Optionen auswählen:
Set the Child workflow initialization step property to Not set and set the Child workflow property to the name of an existing workflow to assign the same workflow to every job that this input device processes.	Setzen Sie das Merkmal Initialisierungsschritt für untergeordneten Workflow auf Nicht festgelegt und das Merkmal Child workflow (untergeordneter Workflow) auf den Namen eines vorhandenen Workflows, um diesem Workflow allen Jobs zuzuordnen, die diese Eingabeeinheit verarbeitet.
Set the Child workflow initialization step property to SetJobTypeFromRules and use the Child workflow parsing rules property to specify the name of the control file that can set the workflow from a JCL parameter value.	Setzen Sie das Merkmal Initialisierungsschritt für untergeordneten Workflow auf SetJobTypeFromRules, und benutzen Sie das Merkmal Syntaxanalyseregeln für untergeordneten Workflow, um den Namen der Steuerdatei anzugeben, die den Workflow aus dem Wert eines JCL-Parameters festlegen kann.
The sample control file, called receive_jcl_jobtype.cfg, is installed in the /aiw/aiw1/samples/rules/ (AIW and Linux) or C:\aiw\aiw1\samples\rules\ (Windows) directory.	Die Mustersteuerdatei receive_jcl_jobtype.cfg ist in den Verzeichnissen /aiw/aiw1/samples/rules/ (AIW und Linux) oder C:\aiw\aiw1\samples\rules\ (Windows) installiert.
You can copy that file to the /aiw/aiw1/control_files/rules/ (AIW and Linux) or C:\aiw\aiw1\control_files\rules\ (Windows) directory and modify it to meet your needs, then update the value of the Child workflow parsing rules property to point to your file.	Sie können diese Datei in das Verzeichnis /aiw/aiw1/control_files/rules/ (AIW und Linux) oder C:\aiw\aiw1\control_files\rules\ (Windows) kopieren und an die eigenen Anforderungen anpassen und dann den Wert des Merkmals Analyseregeln für untergeordneten Workflow so aktualisieren, dass auf Ihre Datei verwiesen wird.
Set the Child workflow initialization step property to SetJobTypeFromFileName and use the Child workflow pattern property to specify the string that  should look for in the input file name and use as the workflow name.	Setzen Sie das Merkmal Initialisierungsschritt für untergeordneten Workflow auf SetJobTypeFromFileName, und benutzen Sie das Merkmal Muster des untergeordneten Workflows, um die Zeichenfolge anzugeben, nach der  im Eingabedateinamen suchen soll und die als Workflowname benutzt werden soll.
If you use this method, you must make sure that a workflow with the corresponding name exists.	Wenn Sie diese Methode verwenden, müssen Sie überprüfen, ob ein Workflow mit dem entsprechenden Namen vorhanden ist.
If you want to merge multiple input data sets into a single job, specify Yes for the Merge multiple data sets property of the input device.	Wenn Sie mehrere Eingabedatensätze in einen einzigen Job zusammenführen möchten, geben Sie Ja für die Eigenschaft Mehrere Datensätze zusammenführen des Eingabegeräts an.
If you are using  for Windows and merging data sets, you can use the Destination control file property to specify a file that contains a list of directories to search for AFP resources.	Wenn Sie  für Windows verwenden und Datensätze zusammenführen, können Sie mit der Eigenschaft Ziel-Steuerdatei eine Datei angeben, die eine Liste mit Verzeichnissen enthält, um nach AFP-Ressourcen zu suchen.
On z/OS, use the  documentation to install and configure.	Unter z/OS nutzen Sie die Dokumentation zu , um  zu installieren und zu konfigurieren.
You might want to create several  functional subsystems (FSSs).	Sie können mehrere -Funktionssubsysteme erstellen.
When Download for z/OS is running in multiple dataset mode with Exit 15, each Download input device can receive jobs from only one Download for z/OS functional subsystem application (FSA).	Wenn der Download für z/OS im Mehrfachdatensatzmodus mit Exit 15 ausgeführt wird, kann jede Download-Eingabeeinheit Jobs nur von einem einzigen Download für eine z/OS-FSA (Functional Subsystem Application) empfangen.
Set up the  Print Parameters Exit 15, either APSUX15 or APCUX15, as required for the installation.	Konfigurieren Sie den -Druckparameter-Exit 15 (APSUX15 oder APCUX15) je nach Bedarf für die Installation.
If  processes z/OS jobs that contain multiple data sets, the exit must pass the output-group identifier, OUTGRP, with the -opa parameter.	Wenn  z/OS-Jobs verarbeitet, die mehrere Datensätze enthalten, muss der Exit die Ausgabegruppen-ID OUTGRP mit dem Parameter -opa übergeben.
The OUTGRP value is either FIRST, NEXT, LAST, or ONLY.	Der Wert für OUTGRP ist entweder FIRST, NEXT, LAST oder ONLY.
IBM can customize the exit to meet unique requirements of the installation.	IBM kann den Exit an die speziellen Anforderungen der Installation anpassen.
Contact IBM for further information.	Weitere Informationen erhalten Sie von IBM.
Update the routing-control data set on z/OS to include the TCP/IP address of the parent server that is running the target input device.	Aktualisieren Sie den Routing-Steuerungsdatensatz unter z/OS so, dass er die TCP/IP-Adresse des übergeordneten Servers enthält, auf dem die Zieleingabeeinheit ausgeführt wird.
The routing-control data set must also specify the port numbers of the target input devices that you verified or updated in a previous step.	In dem Routing-Steuerungsdatensatz müssen zudem die Anschlussnummern der in einem vorherigen Schritt überprüften oder aktualisierten Zieleingabeeinheiten angegeben werden.
These examples show  entries in the routing-control data set that send different types of data sets to different input devices on the  system:/**** RICOH PROCESSDIRECTOR ROUTING FOR LINE DATA	Nachfolgend sind Beispiele für -Einträge im Routing-Steuerungsdatensatz aufgeführt, die unterschiedliche Typen von Datensätzen an unterschiedliche Eingabeeinheiten auf dem -System senden:/**** RICOH PROCESSDIRECTOR ROUTING FOR LINE DATA
DEST=PRT01,PRT02,       /* ALL DATA SETS WITH DESTINATION PRT01 PRT02	DEST=PRT01,PRT02,       /* ALL DATA SETS WITH DESTINATION PRT01 PRT02
CLASS=C,                /* AND A CLASS OF C	CLASS=C,                /* AND A CLASS OF C
IPADDR=9.99.176.136,    /* SEND TO RICOH PROCESSDIRECTOR AT THIS IP ADDRESS	IPADDR=9.99.176.136,    /* SEND TO RICOH PROCESSDIRECTOR AT THIS IP ADDRESS
PORTNUM=7777;           /* AND THIS INPUT DEVICE PORT NUMBER	PORTNUM=7777;           /* AND THIS INPUT DEVICE PORT NUMBER
/**** RICOH PROCESSDIRECTOR ROUTING FOR LINE DATA	/**** RICOH PROCESSDIRECTOR ROUTING FOR LINE DATA
CLASS=A,               /* ALL DATA SETS WITH A CLASS OF A	CLASS=A,               /* ALL DATA SETS WITH A CLASS OF A
FORMS=BILLS,           /* AND WITH A FORMS VALUE OF BILLS	FORMS=BILLS,           /* AND WITH A FORMS VALUE OF BILLS
RECEIPTS,        /* OR A FORMS VALUE OF RECEIPTS	RECEIPTS,        /* OR A FORMS VALUE OF RECEIPTS
IPADDR=9.99.176.136,   /* SEND TO RICOH PROCESSDIRECTOR AT THIS IP ADDRESS	IPADDR=9.99.176.136,   /* SEND TO RICOH PROCESSDIRECTOR AT THIS IP ADDRESS
PORTNUM=6001,          /* AND THIS INPUT DEVICE PORT NUMBER	PORTNUM=6001,          /* AND THIS INPUT DEVICE PORT NUMBER
RETRY=3,               /* RETRY 3 TIMES IF TRANSMISSION FAILS	RETRY=3,               /* RETRY 3 TIMES IF TRANSMISSION FAILS
RETRYINTV=60;          /* WAIT 60 SECONDS BETWEEN RETRY ATTEMPTS	RETRYINTV=60;          /* WAIT 60 SECONDS BETWEEN RETRY ATTEMPTS
/**** RICOH PROCESSDIRECTOR ROUTING FOR POSTSCRIPT AND PDF	/**** RICOH PROCESSDIRECTOR ROUTING FOR POSTSCRIPT AND PDF
DEST=PRT03,             /* ALL DATA SETS WITH DESTINATION PRT03	DEST=PRT03,             /* ALL DATA SETS WITH DESTINATION PRT03
CLASS=D,                /* AND A CLASS OF D	CLASS=D,                /* AND A CLASS OF D
IPADDR=9.99.176.136,    /* SEND TO RICOH PROCESSDIRECTOR AT THIS IP ADDRESS	IPADDR=9.99.176.136,    /* SEND TO RICOH PROCESSDIRECTOR AT THIS IP ADDRESS
PORTNUM=8488,           /* AND THIS INPUT DEVICE PORT NUMBER	PORTNUM=8488,           /* AND THIS INPUT DEVICE PORT NUMBER
SEND_REC_LENGTH=NO;     /* DO NOT PREPEND 2-BYTE LENGTH FIELD	SEND_REC_LENGTH=NO;     /* DO NOT PREPEND 2-BYTE LENGTH FIELD
On z/OS, make any installation-specific modifications to the z/OS Download printer.	Nehmen Sie unter z/OS alle installationsspezifischen Änderungen am z/OS-Download-Drucker vor.
For example, an administrator might assign a -specific destination name to the printer.	Ein Administrator kann beispielsweise einen -spezifischen Zielnamen für den Drucker zuordnen.
Then, jobs can use the DEST JCL parameter to request the  destination.	Dann können Jobs den JCL-Parameter DEST zum Anfordern des -Ziels verwenden.
Drain and restart the z/OS Download printer to use the updated routing-control data set.	Stoppen Sie den z/OS-Download-Drucker mit DRAIN, und starten Sie ihn neu, um den aktualisierten Routing-Steuerungsdatensatz zu verwenden.
Submit and print jobs to verify that  can send data sets, without errors, as a standalone program.	Übergeben und drucken Sie Druckjobs, um zu überprüfen, ob  als Standalone-Programm Datensätze ohne Fehler senden kann.
If in a previous step you created a control file that sets job scheduling properties such as Class, Form, or Destination based on the JCL parameters of the job, make sure that the corresponding scheduling properties are set on the target printers in.	Wenn mit der in einem vorherigen Schritt erstellten Steuerdatei Jobplanungsmerkmale wie Klasse, Formular oder Ziel auf der Basis der JCL-Parameter des Jobs festgelegt werden, stellen Sie sicher, dass die entsprechenden Planungsmerkmale auf den Zieldruckern in  festgelegt sind.
If the scheduling properties do not match, the jobs cannot be scheduled to those printers.	Stimmen die Planungsmerkmale nicht überein, können die Jobs nicht für diese Drucker geplant werden.
On the  system, make sure that the input devices that correspond to the routing-control data set entries are connected and enabled.	Achten Sie auf dem -System darauf, dass die Eingabeeinheiten, die den Einträgen in dem Routing-Steuerungsdatensatz entsprechen, verbunden und aktiviert sind.
On the z/OS system, submit jobs to.	Übergeben Sie auf dem z/OS-System Jobs an.
If errors occur, correct the errors that messages from z/OS or  identify.	Treten Fehler auf, korrigieren Sie die Fehler, die in Nachrichten von z/OS oder  aufgeführt sind.
PreviewPrintWithColorManagement	PreviewPrintWithColorManagement
Use this workflow to print two samples of a job to an  using different AFP color management resources (CMRs), then print the entire job using the CMRs you choose.	Verwenden Sie diesen Workflow, um zwei Muster eines Jobs mit unterschiedlichen AFP-Farbmanagementressourcen (CMRs) auf einem  zu drucken und dann den gesamten Job mit den ausgewählten CMRs zu drucken.
preview printCMR	VorschaudruckCMR
This workflow includes multiple instances of the ChangeHeader, InsertCMR, and PreviewPrint step templates, each with a different name.	Dieser Workflow enthält mehrere Instanzen der Schrittschablonen ChangeHeader, InsertCMR und PreviewPrint mit jeweils unterschiedlichem Namen.
In the Print phase, the workflow creates a snapshot of the print job, then inserts two CMRs, changes the banner page to reflect the current properties, and prints a sample job.	In der Druckphase erstellt der Workflow eine Momentaufnahme des Druckjobs und fügt dann zwei CMRs ein, ändert die Bannerseite, um die aktuellen Merkmale darzustellen, und druckt einen Musterjob.
That preview print is accepted automatically, so the job can continue processing.	Dieser Vorschaudruck wird automatisch akzeptiert, sodass die Verarbeitung des Jobs fortgesetzt werden kann.
When the InsertAuditCMR_Test2 step runs its external command, it uses the snapshot of the job as its input file, adds a CMR to the file and writes its output to the spool directory.	Wenn der Schritt InsertAuditCMR_Test2 seinen externen Befehl ausführt, verwendet er die Momentaufnahme des Jobs als Eingabedatei, fügt eine CMR zur Datei hinzu, und schreibt deren Ausgabe in das Spoolverzeichnis.
The next steps add another CMR to the job, change the content of the banner page, and prints the second sample job.	Der nächste Schritt fügt dem Job eine weitere CMR hinzu, ändert den Inhalt der Bannerseite und druckt den zweiten Musterjob.
That preview print is not accepted automatically, so the job waits in the PreviewPrint_Test2 step until an operator compares the samples and chooses which options to use.	Dieser Vorschaudruck wird nicht automatisch akzeptiert, sodass der Job im Schritt PreviewPrint_Test2 wartet, bis ein Bediener die Muster vergleicht und auswählt, welche Optionen verwendet werden sollen.
The operator must accept the preview print for the job to continue processing.	Der Bediener muss den Vorschaudruck akzeptieren, bevor die Verarbeitung des Jobs fortgesetzt werden kann.
There are two choices:	Es stehen zwei Auswahlmöglichkeiten zur Verfügung:
If the job should be printed with the options from Test2, the operator can accept the job and continue processing in the same workflow, because the spool file for the job currently uses those options.	Wenn der Job mit den Optionen aus Test2 gedruckt werden soll, kann der Bediener den Job akzeptieren und die Verarbeitung im gleichen Workflow fortsetzen, da die Spooldatei für den Job derzeit diese Optionen verwendet.
If the job should be printed with the options from Test1, the operator can accept the job and continue processing in a different workflow that is only configured to insert the CMRs used in the Test1 sample and print the job.	Wenn der Job mit den Optionen aus Test1 gedruckt werden soll, kann der Bediener den Job akzeptieren und die Verarbeitung in einem anderen Workflow fortsetzen, der so konfiguriert ist, dass nur die im Muster "Test1" verwendeten CMRs eingefügt werden, und den Job drucken.
The job is moved to that workflow for further processing and printing.	Der Job wird zur weiteren Verarbeitung und zum Drucken an diesen Workflow verschoben.
When you create this workflow, make sure that the External command property for the first InsertCMR step retrieves the snapshot of the job file as its input file, not the job file that is currently in the spool directory.	Wenn Sie diesen Workflow erstellen, stellen Sie sicher, dass das Merkmal Externer Befehl für den ersten Schritt InsertCMR die Momentaufnahme des Jobs als Eingabedatei abruft, nicht die Jobdatei, die sich derzeit im Spoolverzeichnis befindet.
The job file in the spool directory already has CMRs inserted from the second test.	In der Jobdatei im Spoolverzeichnis wurden bereis die CMRs auf dem zweiten Test eingefügt.
Phases and steps	Phasen und Schritte
Receive:	Empfang:
SetJobPropsFromTextFile	SetJobPropsFromTextFile
DetectInputDataStream	DetectInputDataStream
Prepare:	Vorbereitung:
UseInlineFormDefinition	UseInlineFormDefinition
Print:	Druck:
EnableRepositioning	EnableRepositioning
SnapshotJobFile	SnapshotJobFile
InsertAuditCMR_Test1	InsertAuditCMR_Test1
InsertInstructionCMR_Test1	InsertInstructionCMR_Test1
ChangeHeader_Test1	ChangeHeader_Test1
PrintPreview_Test1	PrintPreview_Test1
InsertAuditCMR_Test2	InsertAuditCMR_Test2
InsertInstructionCMR_Test2	InsertInstructionCMR_Test2
ChangeHeader_Test2	ChangeHeader_Test2
PrintPreview_Test2	PrintPreview_Test2
CreatePageRanges	CreatePageRanges
PrintJobs	PrintJobs
Complete:	Abschluss:
RetainCompletedJobs	RetainCompletedJobs
RemoveJobs	RemoveJobs
Search order for AFP resource extensions	Suchreihenfolge für AFP-Ressourcenerweiterungen
Print files refer to AFP resources by their names, without including a file type extension.	In Druckdateien wird auf AFP-Ressourcen anhand des Namens ohne Dateityperweiterung verwiesen.
However, resource files often have extensions added to them.	Die Namen von Ressourcendateien enthalten oft aber Erweiterungen.
When a component of  requests a resource, it uses the inline resource if the job includes one.	Wenn eine Komponente von  eine Ressource anfordert, nutzt es die Inline-Ressource, sofern der Job eine umfasst.
Otherwise, it first looks for a file that matches the resource name without an extension.	Ansonsten sucht er zunächst nach einer Datei, die mit dem Ressourcennamen - ohne Dateierweiterung - übereinstimmt.
If it cannot find one, it adds one extension after another to the file name and searches for the resource using the new name.	Kann die Komponente keine Datei mit diesem Namen finden, hängt die Komponente eine Erweiterung nach der anderen an den Dateinamen an und sucht mit dem neuen Namen nach der Ressource.
form definition formdef	Formdef Formdef
search order	Suchreihenfolge
AFP resources	AFP-Ressourcen
configuration file	Konfigurationsdatei
AFP viewer	AFP-Anzeigefunktion
configuration file	Konfigurationsdatei
viewer	Anzeigefunktion
a2pxopts.cfg	a2pxopts.cfg
files	Dateien
Extensions are added to resource file names in a specific order based on the type of resource that is requested.	Erweiterungen werden den Ressourcendateinamen auf der Basis des angeforderten Ressourcentyps in einer bestimmten Reihenfolge hinzugefügt.
Sometimes, different components add extensions in different orders.	Manchmal fügen unterschiedliche Komponenten Erweiterungen in einer unterschiedlichen Reihenfolge hinzu.
These components in  request AFP resources: the AFP viewer, the printer driver (PSF), and the line data to AFP transform.	Diese Komponenten in  erfordern AFP-Ressourcen: die AFP-Anzeigefunktion, den Druckertreiber (PSF) und die Komponente zum Umwandeln von Zeilendaten in AFP.
AFP viewer	AFP-Anzeigefunktion
The configuration file for the AFP viewer, /opt/infoprint/ippd/afpviewer/a2pxopts.cfg (AIX and Linux) C:\Program Files\Ricoh\afpviewer\a2pxopts.cfg (Windows), lets you specify file extensions for page segments, overlays, form definitions, JPEG files, GIF files, TIFF files, character sets, code pages, and coded fonts.	In der Konfigurationsdatei für die AFP-Anzeigefunktionskomponente, /opt/infoprint/ippd/afpviewer/a2pxopts.cfg (AIX ud Linux) C:\Program Files\Ricoh\afpviewer\a2pxopts.cfg (Windows) können Sie Dateierweiterungen für Formdef, Page-Segmente, Overlays, JPEG-Dateien, GIF-Dateien, TIFF-Dateien, Zeichensätze, Codepages und codierten Fonts festlegen.
The viewer searches for files in the order that you specify the extensions.	Die Anzeigefunktion sucht nach Dateien in der Reihenfolge der angegebenen Erweiterungen.
On Linux and AIX, file extensions are case-sensitive.	Bei Linux- und AIX-Systemen muss die Groß-/Kleinschreibung beachtet werden.
The configuration file that is installed with  contains these statements that set extensions for resources:	Die mit  installierte Konfigurationsdatei enthält folgende Anweisungen, mit denen die Erweiterungen für festlegen:
PageSegExt=*.,*.psg,*.PSG	PageSegExt=*.,*.psg,*.PSG
OverlayExt=*.,*.oly,*.OLY	OverlayExt=*.,*.oly,*.OLY
FormDefExt=*.,*.fde,*.FDE	FormDefExt=*.,*.fde,*.FDE
JFIFEXT=*.,*.DOR,*.png, *.png,*.jfif,*.jpeg	JFIFEXT=*.,*.DOR,*.png, *.png,*.jfif,*.jpeg
GIFEXT=*.,*.DOR,*.png,*.png	GIFEXT=*.,*.DOR,*.png,*.png
TIFFEXT=*.,*.DOR,*.tif,*.TIF,*.tiff,*.TIFF	TIFFEXT=*.,*.DOR,*.tif,*.TIF,*.tiff,*.TIFF
CHARSETEXT =*.,*.240,*.300,*.OLN,*.oln,*.Oln,*.fnt	CHARSETEXT =*.,*.240,*.300,*.OLN,*.oln,*.Oln,*.fnt
CODEPAGEEXT =*.,*.fnt	CODEPAGEEXT =*.,*.fnt
